n b_n
0.000000000000000000e+00 3.511300739613030797e-01
1.000000000000000000e+00 3.959549814119257860e+01
2.000000000000000000e+00 7.056350529859368237e+01
3.000000000000000000e+00 3.754989100229724386e+02
4.000000000000000000e+00 6.852241075025881401e+02
5.000000000000000000e+00 9.715459580192638214e+02
6.000000000000000000e+00 1.160907665164601667e+03
7.000000000000000000e+00 1.250746158266743123e+03
8.000000000000000000e+00 1.273448701605070937e+03
9.000000000000000000e+00 1.284018266462133624e+03
1.000000000000000000e+01 1.299028657082180871e+03
1.100000000000000000e+01 1.308378849191269182e+03
1.200000000000000000e+01 1.329727670601533646e+03
1.300000000000000000e+01 1.333298317752174171e+03
1.400000000000000000e+01 1.350673241859611380e+03
1.500000000000000000e+01 1.340921397405302514e+03
1.600000000000000000e+01 1.345817607401017085e+03
1.700000000000000000e+01 1.323094922318849285e+03
1.800000000000000000e+01 1.325172439190623891e+03
1.900000000000000000e+01 1.304693732588517150e+03
2.000000000000000000e+01 1.319775813821677502e+03
2.100000000000000000e+01 1.309955903212963676e+03
2.200000000000000000e+01 1.339318847360221980e+03
2.300000000000000000e+01 1.330008566697620836e+03
2.400000000000000000e+01 1.354750320802163515e+03
2.500000000000000000e+01 1.329615091499981190e+03
2.600000000000000000e+01 1.347487628462197108e+03
2.700000000000000000e+01 1.324453036643413725e+03
2.800000000000000000e+01 1.350632884629113960e+03
2.900000000000000000e+01 1.327428375121839281e+03
3.000000000000000000e+01 1.339498426427287768e+03
3.100000000000000000e+01 1.302911350517747223e+03
3.200000000000000000e+01 1.311196633747460282e+03
3.300000000000000000e+01 1.291310311615709679e+03
3.400000000000000000e+01 1.308113724861575520e+03
3.500000000000000000e+01 1.292669213023165867e+03
3.600000000000000000e+01 1.301326883191762818e+03
3.700000000000000000e+01 1.290305162653584603e+03
3.800000000000000000e+01 1.297917682250018061e+03
3.900000000000000000e+01 1.282972000039908835e+03
