n b_n
0.000000000000000000e+00 2.893094036978857142e-01
1.000000000000000000e+00 2.077324801843869650e+01
2.000000000000000000e+00 1.987460576578504856e+01
3.000000000000000000e+00 8.399389838456568214e+01
4.000000000000000000e+00 1.422715656251668008e+02
5.000000000000000000e+00 2.041062009197636087e+02
6.000000000000000000e+00 2.664934139954227135e+02
7.000000000000000000e+00 3.293972616784447496e+02
8.000000000000000000e+00 3.958070584558236646e+02
9.000000000000000000e+00 4.483012845906783923e+02
1.000000000000000000e+01 5.251457031745331960e+02
1.100000000000000000e+01 5.749893032669135664e+02
1.200000000000000000e+01 6.515822294533355716e+02
1.300000000000000000e+01 6.969264959928698318e+02
1.400000000000000000e+01 7.772892387318994452e+02
1.500000000000000000e+01 8.243818259220792015e+02
1.600000000000000000e+01 9.029289681660441147e+02
1.700000000000000000e+01 9.513252217063356966e+02
1.800000000000000000e+01 1.024511514228232727e+03
1.900000000000000000e+01 1.078284827359330393e+03
2.000000000000000000e+01 1.146683691047240700e+03
2.100000000000000000e+01 1.195741287643259511e+03
2.200000000000000000e+01 1.247647689644734555e+03
2.300000000000000000e+01 1.277683112812078207e+03
2.400000000000000000e+01 1.302617049875899966e+03
2.500000000000000000e+01 1.312208309740442019e+03
2.600000000000000000e+01 1.326393630245758231e+03
2.700000000000000000e+01 1.332585951888299178e+03
2.800000000000000000e+01 1.345728727536278939e+03
2.900000000000000000e+01 1.360599099352582016e+03
3.000000000000000000e+01 1.359479582060964958e+03
3.100000000000000000e+01 1.361050651446137863e+03
3.200000000000000000e+01 1.333952937600173982e+03
3.300000000000000000e+01 1.320887057670674039e+03
3.400000000000000000e+01 1.284474267824113895e+03
3.500000000000000000e+01 1.285652922439165195e+03
3.600000000000000000e+01 1.275985968440870238e+03
3.700000000000000000e+01 1.337439631263245701e+03
3.800000000000000000e+01 1.370814315715968633e+03
3.900000000000000000e+01 1.409777118536025910e+03
