n b_n
0.000000000000000000e+00 3.224502337790345341e-01
1.000000000000000000e+00 1.864624033756656374e+01
2.000000000000000000e+00 2.112696334336235893e+01
3.000000000000000000e+00 8.441815450370415874e+01
4.000000000000000000e+00 1.410151967709575445e+02
5.000000000000000000e+00 2.046319638563950605e+02
6.000000000000000000e+00 2.685571633147803254e+02
7.000000000000000000e+00 3.276338318032011898e+02
8.000000000000000000e+00 3.960003324155878204e+02
9.000000000000000000e+00 4.513865817285266075e+02
1.000000000000000000e+01 5.232072032732212392e+02
1.100000000000000000e+01 5.755091025966928555e+02
1.200000000000000000e+01 6.502222793332385891e+02
1.300000000000000000e+01 6.998602922382295901e+02
1.400000000000000000e+01 7.770777623222536477e+02
1.500000000000000000e+01 8.243626687745398840e+02
1.600000000000000000e+01 9.035528614945732215e+02
1.700000000000000000e+01 9.483445308439687551e+02
1.800000000000000000e+01 1.026360009974186823e+03
1.900000000000000000e+01 1.064140091545795713e+03
2.000000000000000000e+01 1.126154286617934304e+03
2.100000000000000000e+01 1.143034097196038147e+03
2.200000000000000000e+01 1.168196392464716837e+03
2.300000000000000000e+01 1.162717154694443252e+03
2.400000000000000000e+01 1.159116273464891719e+03
2.500000000000000000e+01 1.144176632963019756e+03
2.600000000000000000e+01 1.130345232789233251e+03
2.700000000000000000e+01 1.114119273048053401e+03
2.800000000000000000e+01 1.091970491991211929e+03
2.900000000000000000e+01 1.077105402800287720e+03
3.000000000000000000e+01 1.057846028397911596e+03
3.100000000000000000e+01 1.071459423685158072e+03
3.200000000000000000e+01 1.111799840251696196e+03
3.300000000000000000e+01 1.206178852076431667e+03
3.400000000000000000e+01 1.218738360770609006e+03
3.500000000000000000e+01 1.117792108958578410e+03
3.600000000000000000e+01 9.593035351604025891e+02
3.700000000000000000e+01 9.225887859673223375e+02
3.800000000000000000e+01 1.068355200219597918e+03
3.900000000000000000e+01 1.263218012286119574e+03
