n b_n
0.000000000000000000e+00 3.571836812167679120e-01
1.000000000000000000e+00 2.425633704630160281e+01
2.000000000000000000e+00 3.704697627619548683e+01
3.000000000000000000e+00 1.569382639239505011e+02
4.000000000000000000e+00 2.795464483521965917e+02
5.000000000000000000e+00 4.069061812857109430e+02
6.000000000000000000e+00 5.325005268690896401e+02
7.000000000000000000e+00 6.572789276559662994e+02
8.000000000000000000e+00 7.843272640988756166e+02
9.000000000000000000e+00 9.028682024253619147e+02
1.000000000000000000e+01 1.016187278727989110e+03
1.100000000000000000e+01 1.094747273730595452e+03
1.200000000000000000e+01 1.147066456004006341e+03
1.300000000000000000e+01 1.156250859452281475e+03
1.400000000000000000e+01 1.161457296766370973e+03
1.500000000000000000e+01 1.145891951790800931e+03
1.600000000000000000e+01 1.145162682379358785e+03
1.700000000000000000e+01 1.125523949495999204e+03
1.800000000000000000e+01 1.125434356374448271e+03
1.900000000000000000e+01 1.104322279201667925e+03
2.000000000000000000e+01 1.109911596751917159e+03
2.100000000000000000e+01 1.096723407087744135e+03
2.200000000000000000e+01 1.122832639145724670e+03
2.300000000000000000e+01 1.131569880968915641e+03
2.400000000000000000e+01 1.171777324304992135e+03
2.500000000000000000e+01 1.152862074460249687e+03
2.600000000000000000e+01 1.133503368426065435e+03
2.700000000000000000e+01 1.063627464216680437e+03
2.800000000000000000e+01 1.048955339753320004e+03
2.900000000000000000e+01 1.040879441235994136e+03
3.000000000000000000e+01 1.108158292111781293e+03
3.100000000000000000e+01 1.125570659854224459e+03
3.200000000000000000e+01 1.091363038676707902e+03
3.300000000000000000e+01 1.005695201059644432e+03
3.400000000000000000e+01 1.021475854570289812e+03
3.500000000000000000e+01 1.104549191871319636e+03
3.600000000000000000e+01 1.127854241041879050e+03
3.700000000000000000e+01 1.013973795956839922e+03
3.800000000000000000e+01 9.767032637280907466e+02
3.900000000000000000e+01 1.054653436324602808e+03
