n b_n
0.000000000000000000e+00 3.876103140134971592e-01
1.000000000000000000e+00 3.582206626834244645e+01
2.000000000000000000e+00 7.538359691598540735e+01
3.000000000000000000e+00 3.715555889370971272e+02
4.000000000000000000e+00 6.836075051688681015e+02
5.000000000000000000e+00 9.338623704714801761e+02
6.000000000000000000e+00 1.079457356461852896e+03
7.000000000000000000e+00 1.128236367625768480e+03
8.000000000000000000e+00 1.141588997301241307e+03
9.000000000000000000e+00 1.142128439718750087e+03
1.000000000000000000e+01 1.144094990058111307e+03
1.100000000000000000e+01 1.135578958813552390e+03
1.200000000000000000e+01 1.135133893502995534e+03
1.300000000000000000e+01 1.122648646570103665e+03
1.400000000000000000e+01 1.125339171347498223e+03
1.500000000000000000e+01 1.112715384585759011e+03
1.600000000000000000e+01 1.124124378687727358e+03
1.700000000000000000e+01 1.117060935767202409e+03
1.800000000000000000e+01 1.140620596913016925e+03
1.900000000000000000e+01 1.132585556965560272e+03
2.000000000000000000e+01 1.149876598013710009e+03
2.100000000000000000e+01 1.118972019783818268e+03
2.200000000000000000e+01 1.126003657593116259e+03
2.300000000000000000e+01 1.095999630914732052e+03
2.400000000000000000e+01 1.125842939582815688e+03
2.500000000000000000e+01 1.106093052031747447e+03
2.600000000000000000e+01 1.118023572281716724e+03
2.700000000000000000e+01 1.055761278645717312e+03
2.800000000000000000e+01 1.040663950205359924e+03
2.900000000000000000e+01 1.003653398263354006e+03
3.000000000000000000e+01 1.043454765856899940e+03
3.100000000000000000e+01 1.063052484285485434e+03
3.200000000000000000e+01 1.086751186728385846e+03
3.300000000000000000e+01 1.048056258287406990e+03
3.400000000000000000e+01 1.022691338356411620e+03
3.500000000000000000e+01 9.943831998002775663e+02
3.600000000000000000e+01 9.696360167083802253e+02
3.700000000000000000e+01 9.696911405419497214e+02
3.800000000000000000e+01 1.033343311409880016e+03
3.900000000000000000e+01 1.122893449001893259e+03
