n b_n
0.000000000000000000e+00 3.230537207840745162e-01
1.000000000000000000e+00 2.685159206979249547e+01
2.000000000000000000e+00 3.468910649159384718e+01
3.000000000000000000e+00 1.579441770475114026e+02
4.000000000000000000e+00 2.792561421845012433e+02
5.000000000000000000e+00 4.047450577537067602e+02
6.000000000000000000e+00 5.340528648226422774e+02
7.000000000000000000e+00 6.544645453764077274e+02
8.000000000000000000e+00 7.864805402802297749e+02
9.000000000000000000e+00 9.045592274043499401e+02
1.000000000000000000e+01 1.031682198015626227e+03
1.100000000000000000e+01 1.136992160117498997e+03
1.200000000000000000e+01 1.225752797808917876e+03
1.300000000000000000e+01 1.272576355125080909e+03
1.400000000000000000e+01 1.302501918807717402e+03
1.500000000000000000e+01 1.304480250612483587e+03
1.600000000000000000e+01 1.320631221989305232e+03
1.700000000000000000e+01 1.321937698883087251e+03
1.800000000000000000e+01 1.344648651923510215e+03
1.900000000000000000e+01 1.343822192543438860e+03
2.000000000000000000e+01 1.360645955966821248e+03
2.100000000000000000e+01 1.341479393243556387e+03
2.200000000000000000e+01 1.342696147768973333e+03
2.300000000000000000e+01 1.309523015276573460e+03
2.400000000000000000e+01 1.311648360695403198e+03
2.500000000000000000e+01 1.290194340159775493e+03
2.600000000000000000e+01 1.314992010144400410e+03
2.700000000000000000e+01 1.320071115137490551e+03
2.800000000000000000e+01 1.365395988805881188e+03
2.900000000000000000e+01 1.361150622625476672e+03
3.000000000000000000e+01 1.364509933663622405e+03
3.100000000000000000e+01 1.317860709973354233e+03
3.200000000000000000e+01 1.313383120029128349e+03
3.300000000000000000e+01 1.302764034769357067e+03
3.400000000000000000e+01 1.334984190661391040e+03
3.500000000000000000e+01 1.330608502098862346e+03
3.600000000000000000e+01 1.315882744290377332e+03
3.700000000000000000e+01 1.276428434935880887e+03
3.800000000000000000e+01 1.290677316464955993e+03
3.900000000000000000e+01 1.325561318532639007e+03
